id,name,address,city,state,mode,lat,lng
7ec8a30c-9ed8-4192-8302-2bcc4eb525b0,Devil's Tower,Esplanade,Alpine,NJ,theophany,40.932429,-73.9308478
9223dadc-78ba-4f6b-893c-3cfa1d61a357,St. Paul's Abbey (Newton Priory),289 US Route 206,Andover Township,NJ,sanctuary,41.0314862,-74.7668322
59bdb42b-440b-47c9-b415-3c142360535e,The Atco Ghost,Burnt Mill Rd,Atco,NJ,theophany,39.7553514,-74.8720972
0289aad0-6943-4bdd-b75c-595552518c50,Absecon Lighthouse,31 S Rhode Island Ave,Atlantic City,NJ,theophany,39.3662273,-74.4143604
82c8c425-ba5c-4a8c-9ec9-f96a8fc9c7d6,Bernardsville Public Library (Parker Tavern / Phyllis Parker Ghost),2 Mine Brook Road,Bernardsville,NJ,theophany,40.718197,-74.569329
76a22bb0-630e-41a0-8629-0e72c880c9c4,Friends Meeting House,340 High St,Burlington,NJ,sanctuary,40.0782367,-74.858864
01a882e6-4378-4664-aedf-66ddfc27f214,St. Babs!,321 N Delsea Dr,C.M. Court House,NJ,sanctuary,39.1375,-74.854
0279f364-aeee-4174-9916-5c05c01639b2,Marianist Retreat Center,417 Yale Ave,Cape May Point,NJ,sanctuary,38.935634,-74.9666388
ae288d43-dee3-49bb-83dd-3eb26359eff7,Red Mill Museum Village,56 Main St,Clinton,NJ,theophany,40.6361703,-74.9127536
5c15331e-8b0a-4a14-ae02-0ddaefe02543,Spruce Run Recreation Area,68 Van Syckels Rd,Clinton,NJ,both,40.6561293,-74.9303284
8b1bd47d-6d42-42e3-b76d-70fa4dea5cd2,Historic Village of Old Bridge,Main St & Old Bridge Tpke,East Brunswick,NJ,theophany,40.4145,-74.3656
64221b5d-cb68-428e-a603-8e41e062775c,Smithville Mansion,803 Smithville Rd,Eastampton,NJ,both,39.9867017,-74.749199
06a90543-d2b2-4767-9bf3-d5e7bed15d0d,Piscatawaytown Burial Ground,2136 Woodbridge Ave,Edison,NJ,both,40.5004912,-74.3960959
8305f261-dd6e-4807-8910-a28ca9ead83f,Peace Pilgrim Park,70 Chestnut St,Egg Harbor City,NJ,sanctuary,39.5273,-74.6444
6c60a980-ff1d-48f6-aa63-49494601d088,Benedictine Center for Spirituality (St. Walburga Monastery),851 North Broad Street,Elizabeth,NJ,sanctuary,40.6693,-74.1777
85e470c4-97a7-40fc-812b-ed67858769d1,Union County Courthouse,2 Broad Street,Elizabeth,NJ,theophany,40.6643,-74.2116
ef65ce78-9558-4b7e-8660-5836c60bb42a,St. Michael's Monastery,1780 County Rd 537,Farmingdale,NJ,sanctuary,40.1986,-74.1833
e338b52d-d4a9-49d4-b775-5a8cd007c943,Union Hotel,401 Union Ave,Flemington,NJ,theophany,40.5106625,-74.8587384
b9cb228a-e297-43f5-b0ab-b18e52d15e57,Tohill Auditorium (Rowan University),201 Mullica Hill Rd,Glassboro,NJ,theophany,39.7103526,-75.1193267
618202fe-e900-481c-a9a8-1d05e6835e3e,Gabreil Daveis Tavern,500 3rd Ave,Glendora,NJ,theophany,39.8375,-75.0608
a45d5fd6-6598-4d83-90c2-084109c45383,Ghost Lake,"Off Shades of Death Rd, south of I-80 overpass",Great Meadows,NJ,both,40.9237,-74.8748
61346457-6f92-44cd-a849-0bc42a360b96,Jenny Jump State Forest,State Park Road,Great Meadows,NJ,both,40.876,-74.884
090db0ca-ce6c-4e57-a39b-4b1109680f15,Shades of Death Road,Shades of Death Road (southern end at Hope Rd/CR 611),Great Meadows,NJ,theophany,40.8869,-74.8928
5fee3ead-0e40-4315-8793-5d3ae23366d7,The Fairy Hole (Lenape Cave near Ghost Lake),"Adjacent to Ghost Lake, off Shades of Death Rd",Great Meadows,NJ,both,40.923,-74.8752
0e9db2b5-0a94-4d58-80dc-76a378c9c029,Tea Burners Monument,Market St,Greenwich,NJ,both,39.8278129,-75.2777864
06dc2b2b-d3d0-4800-94ea-f39ed62c6bce,Centenary University (Tillie Smith Ghost),400 Jefferson Street,Hackettstown,NJ,theophany,40.850018,-74.832671
1d830fdc-7fbc-4474-a60f-42cdf8612f6a,The Ritz Theatre,915 White Horse Pike,Haddon Twp,NJ,theophany,39.9005401,-75.0754563
6a1e44fa-f0ad-4b74-b6c4-8b2cbf2a38d3,Batsto Village,31 Batsto Rd,Hammonton,NJ,both,39.643388,-74.6481908
